global_human_like_perplexity,num_edits,sequence_length,original_length
1.720022439956665,12,320,1532
1.3488857746124268,8,218,1188
1.1487903594970703,4,164,938
1.3579241037368774,6,192,897
1.3976541757583618,4,94,451
1.0920981168746948,2,65,385
1.9393093585968018,9,156,754
1.0527721643447876,2,144,771
1.1412088871002197,2,118,721
1.0746362209320068,4,176,957
1.058234453201294,4,372,1698
1.2824651002883911,8,356,1668
1.3397331237792969,6,117,677
1.2755235433578491,6,199,1008
1.6565155982971191,10,215,1107
1.2409476041793823,6,183,1026
1.5322514772415161,10,353,1454
1.0806573629379272,3,165,707
1.16470205783844,4,216,1192
1.0002315044403076,4,99,486
1.2248879671096802,5,162,895
2.031965970993042,21,252,1281
1.0535931587219238,3,308,1432
1.5819454193115234,5,132,645
1.0910533666610718,2,171,944
1.1706860065460205,2,104,550
1.8198460340499878,17,313,1653
1.0918312072753906,4,350,1867
1.6622427701950073,6,171,860
1.7561659812927246,10,134,717
1.501497745513916,4,198,840
1.2829166650772095,4,121,655
1.1782742738723755,4,183,870
1.4461725950241089,2,73,307
1.2668085098266602,3,135,558
1.2459726333618164,7,197,1044
1.358044981956482,8,320,1652
1.2138173580169678,8,233,1336
1.4606716632843018,9,160,887
1.177313208580017,2,83,464
1.2923270463943481,9,167,926
1.7318724393844604,6,248,1365
1.197131633758545,6,175,786
1.8727118968963623,7,158,878
1.497450351715088,1,131,745
1.7431448698043823,9,232,759
1.0002127885818481,2,210,1146
1.558191180229187,10,166,941
1.6892539262771606,4,149,603
1.7646275758743286,8,159,797
1.4077847003936768,5,248,903
1.380999207496643,5,109,521
1.0319340229034424,2,215,1119
1.1624191999435425,5,212,1187
1.1342854499816895,2,80,421
1.3209257125854492,7,157,784
1.7381343841552734,3,31,163
1.540639877319336,3,59,338
1.0836992263793945,1,242,1384
1.7853844165802002,2,138,657
1.6099441051483154,11,352,1711
1.367796540260315,5,237,962
1.2007718086242676,4,211,970
1.461996078491211,13,185,1067
1.0886603593826294,3,157,868
1.2319042682647705,2,109,578
1.6504098176956177,9,250,1167
2.0882680416107178,12,200,955
1.2972402572631836,7,194,1040
1.3021886348724365,2,127,577
1.043312430381775,1,268,1424
1.543837308883667,8,196,1125
1.431231141090393,10,332,1184
1.7444136142730713,5,146,640
1.5803308486938477,5,170,858
1.6063284873962402,14,214,1145
1.7638976573944092,4,139,525
1.0854450464248657,2,155,847
1.6249140501022339,12,208,1254
1.1638517379760742,3,233,1426
2.055210590362549,4,188,896
1.4001662731170654,4,112,566
1.0989793539047241,2,230,1335
1.1832236051559448,2,170,707
1.271313190460205,5,156,669
1.1401188373565674,4,294,1595
1.4143325090408325,2,44,244
1.3099706172943115,4,99,535
1.8244596719741821,7,180,980
1.0002132654190063,2,208,1116
1.2257074117660522,3,165,908
1.1627906560897827,4,145,442
1.2387052774429321,4,130,766
1.2282530069351196,6,129,757
1.0565122365951538,2,113,574
1.3108996152877808,3,177,858
1.1349984407424927,2,160,940
1.2358733415603638,7,176,973
1.325766921043396,2,86,425
1.0002121925354004,1,214,1117
1.3438810110092163,6,188,968
1.1256847381591797,3,193,1209
1.1969057321548462,4,116,721
1.1302334070205688,6,179,1025
1.3039255142211914,4,96,520
1.2304739952087402,3,112,552
2.2524354457855225,5,65,311
1.698445200920105,7,129,707
1.0002259016036987,2,124,635
1.0327290296554565,3,247,1367
1.1745848655700684,4,246,1258
1.0544553995132446,2,139,830
1.4248497486114502,8,220,1186
1.1011416912078857,4,234,1334
1.2106473445892334,2,170,951
1.0935858488082886,5,224,901
1.204135537147522,5,170,786
1.1517668962478638,4,237,1170
1.6365786790847778,9,197,874
1.1074774265289307,2,193,867
1.1337614059448242,3,238,1177
1.2726622819900513,5,162,926
1.613581895828247,9,191,1031
1.1141111850738525,4,151,850
1.6363482475280762,6,119,559
1.210193395614624,2,119,679
1.0559245347976685,3,421,1753
1.1412982940673828,3,104,471
1.000206470489502,1,253,1150
1.097991704940796,3,272,1258
1.0808502435684204,2,247,1052
1.6902889013290405,5,149,808
1.391616702079773,7,144,772
1.8676846027374268,4,85,371
1.3903429508209229,6,115,536
1.8830952644348145,15,218,997
1.2856417894363403,4,134,689
1.1500632762908936,8,300,1579
2.013214349746704,12,187,767
1.3675366640090942,4,119,645
1.1305326223373413,3,188,1057
1.3739217519760132,9,159,767
1.1245245933532715,2,68,386
1.6946033239364624,9,218,1107
1.094592571258545,3,223,1258
1.3988417387008667,10,316,1204
1.3047149181365967,2,237,1224
1.469182014465332,16,356,1784
1.3127785921096802,10,304,1345
1.201411247253418,3,157,815
1.2590959072113037,4,109,611
1.0002292394638062,2,109,588
1.1542389392852783,3,120,607
1.191591501235962,1,139,615
1.2453944683074951,4,70,373
1.3419034481048584,8,194,1097
1.70163094997406,12,204,1107
1.5338395833969116,6,196,1020
1.4533611536026,3,122,553
1.4590705633163452,6,175,779
1.7264269590377808,5,147,711
1.5147920846939087,9,336,1914
1.1170680522918701,2,141,725
1.6004480123519897,4,170,767
1.3782873153686523,6,103,512
1.3937840461730957,7,160,876
1.2012416124343872,3,151,875
2.4054970741271973,6,68,349
1.2981324195861816,3,124,640
1.6331281661987305,4,192,1049
1.522216796875,12,132,540
2.0776565074920654,6,145,743
1.6254481077194214,12,186,879
1.7010180950164795,3,131,779
1.619719386100769,6,149,779
1.2685067653656006,7,199,1031
1.464016318321228,7,243,1432
1.339606761932373,5,175,954
1.2804844379425049,5,192,1037
1.759968876838684,6,183,1010
1.2231029272079468,5,220,1321
1.1305354833602905,6,260,1378
1.2287993431091309,3,215,1023
1.0658392906188965,3,244,1219
1.1154195070266724,5,233,1330
1.6496503353118896,12,151,677
1.5326899290084839,10,245,1168
1.2173821926116943,3,120,585
1.1705234050750732,4,194,1101
1.3496417999267578,7,302,1305
1.4312859773635864,7,194,880
1.3689804077148438,13,324,1691
1.3915284872055054,7,176,935
1.3797698020935059,6,109,520
1.987441062927246,5,89,288
1.398559808731079,8,179,1041
1.339879035949707,6,329,1332
1.1576306819915771,5,392,1833
1.5268785953521729,4,98,512
1.0585530996322632,2,320,1730
1.379176378250122,11,204,944
1.3693609237670898,2,53,268
1.1925967931747437,2,101,501
1.9629310369491577,7,143,715
1.1844648122787476,3,142,839
1.0618536472320557,2,102,551
1.0002155303955078,1,193,1035
1.1552196741104126,6,256,916
1.3829948902130127,2,120,651
1.3450050354003906,9,379,1814
1.6481852531433105,11,179,1086
1.3712151050567627,9,196,1130
1.5153111219406128,7,134,688
1.3149940967559814,3,137,540
1.2797269821166992,7,154,821
1.5257086753845215,4,99,311
1.089985728263855,1,248,1233
1.6428122520446777,6,109,570
1.1091444492340088,2,116,650
1.5041053295135498,4,101,504
1.6003456115722656,3,175,576
1.4518558979034424,2,175,845
2.0042407512664795,5,65,287
1.167019248008728,2,99,543
1.608824372291565,3,142,555
1.590253472328186,7,211,1144
1.1540533304214478,2,130,641
1.0797780752182007,2,231,1270
1.0408118963241577,4,308,1671
1.1125357151031494,8,283,1606
1.7323874235153198,12,226,1146
1.1102943420410156,7,263,1528
1.0002323389053345,2,94,486
1.1106865406036377,1,63,351
1.0002180337905884,1,177,1045
1.1407495737075806,3,202,1184
1.1764222383499146,7,211,1264
1.2928451299667358,6,195,1151
1.8653277158737183,4,128,613
1.2101991176605225,8,260,1457
1.4806872606277466,8,231,1121
1.1509772539138794,3,229,1274
1.081544280052185,2,172,996
2.161552667617798,2,22,121
1.292015790939331,5,166,527
1.3901407718658447,5,139,822
1.3174270391464233,6,108,633
1.6162651777267456,5,196,801
1.299142837524414,2,85,471
1.4049952030181885,7,219,991
1.8338671922683716,11,170,725
1.5329667329788208,11,289,1149
1.3506277799606323,4,116,642
1.7784277200698853,11,133,756
1.240626573562622,6,175,970
1.2857019901275635,6,187,960
1.2942818403244019,4,362,1583
1.9072916507720947,19,243,856
1.1892616748809814,3,100,482
1.1321617364883423,2,166,909
1.1346781253814697,2,160,879
1.1077654361724854,3,178,965
1.5729600191116333,6,151,643
1.2707576751708984,5,153,723
1.7795144319534302,9,266,1358
1.2461899518966675,4,117,576
1.3007837533950806,9,212,1154
1.1354880332946777,3,106,276
1.1811025142669678,1,128,720
1.2163610458374023,4,237,1236
1.7127342224121094,8,139,645
1.5423709154129028,4,168,878
1.451828122138977,5,166,786
1.2795828580856323,6,194,1287
1.5390377044677734,7,403,1918
1.1275526285171509,3,106,495
1.166300892829895,7,289,1630
1.2658147811889648,3,178,934
1.3478440046310425,6,168,901
1.446900486946106,12,184,1082
1.5961943864822388,12,176,1020
1.2939138412475586,6,296,1711
1.040399432182312,4,165,906
2.003767967224121,3,85,296
1.5322659015655518,8,160,703
1.6522605419158936,10,258,1284
1.327337622642517,5,266,1333
1.2115603685379028,7,208,1148
1.2735300064086914,5,177,1033
1.4122284650802612,7,171,890
1.0957043170928955,2,170,883
2.2091495990753174,7,129,634
1.2880803346633911,3,105,565
1.1074877977371216,2,147,775
1.2872743606567383,8,402,1844
1.6515107154846191,10,249,1377
1.201073169708252,6,227,1282
1.6981122493743896,9,162,871
1.21409273147583,4,106,542
1.7012537717819214,16,220,1096
1.2442859411239624,5,152,777
2.0104422569274902,9,151,765
1.0989482402801514,3,203,1164
1.2047613859176636,2,97,548
1.4507043361663818,3,97,553
1.3271733522415161,6,187,710
1.3658322095870972,3,81,383
1.4510904550552368,1,78,441
1.203237771987915,4,225,1369
1.1043133735656738,2,200,1095
1.5662733316421509,5,235,1202
1.6651898622512817,7,263,1465
1.7318264245986938,14,298,895
1.0495222806930542,3,202,1067
1.1573840379714966,6,221,1121
1.052391529083252,3,190,1069
1.462348461151123,7,208,1123
1.2422248125076294,7,335,1167
1.3076248168945312,3,139,649
1.3445273637771606,3,155,907
1.2139601707458496,5,178,969
1.1483309268951416,6,338,1920
1.2244431972503662,3,97,559
1.629833698272705,9,176,810
1.6334744691848755,6,199,978
1.5798633098602295,5,169,961
1.7951310873031616,5,123,679
1.2024117708206177,4,265,1216
1.664543628692627,10,130,594
1.5663071870803833,6,261,1067
1.6575590372085571,10,144,657
1.8071194887161255,13,255,1432
1.4170787334442139,11,274,1152
1.242075800895691,4,149,749
1.1034456491470337,4,123,680
1.931894063949585,6,145,610
1.0244208574295044,3,315,1723
1.3682866096496582,6,160,769
1.6456526517868042,11,353,1611
1.1851966381072998,6,314,1584
1.2088030576705933,6,341,1452
1.0867444276809692,2,169,910
1.321331262588501,12,262,1231
1.0784574747085571,6,206,1137
1.0653821229934692,3,136,764
1.946820855140686,10,140,776
1.417333722114563,6,165,777
1.2831223011016846,7,190,831
1.492842435836792,6,91,452
1.895098090171814,5,132,452
1.0976786613464355,2,135,769
1.1943719387054443,8,356,1879
1.860755205154419,8,217,991
1.4968699216842651,6,307,1314
1.461869478225708,9,233,794
1.2061456441879272,7,211,1142
1.3677796125411987,11,219,1031
1.1082282066345215,3,269,1345
1.1406314373016357,3,175,791
1.1551607847213745,9,301,1694
1.409210443496704,6,360,1685
1.142121434211731,2,153,653
1.8233442306518555,12,216,1114
1.7586597204208374,2,147,735
1.6153215169906616,9,184,1029
1.2030127048492432,2,144,777
1.399670124053955,5,131,694
1.0535584688186646,3,359,1686
1.291032314300537,10,426,1884
1.2172636985778809,3,134,792
1.1438974142074585,4,244,1411
1.2594523429870605,10,314,1562
1.2464255094528198,2,61,342
1.7644448280334473,8,219,1139
1.3134649991989136,8,270,1341
1.2065685987472534,6,182,942
1.1775538921356201,7,204,921
1.1104578971862793,1,53,309
1.3016347885131836,4,100,475
1.2564338445663452,3,55,296
1.1094099283218384,2,125,544
1.3370550870895386,1,90,487
2.505992889404297,1,19,63
1.0892537832260132,1,87,462
1.3396353721618652,5,95,476
1.1550053358078003,3,107,564
1.1167651414871216,3,218,1409
2.19171142578125,11,154,662
1.3285115957260132,7,183,910
1.0658522844314575,2,95,532
1.1634924411773682,4,163,929
1.4635295867919922,3,88,487
1.287514328956604,2,62,337
1.1881104707717896,3,121,628
1.7218059301376343,4,169,726
1.7203655242919922,8,164,546
1.5787811279296875,6,79,427
1.1153440475463867,1,154,830
1.5162239074707031,6,321,1529
1.7805010080337524,4,106,562
1.7065988779067993,15,202,1154
1.301230788230896,10,318,1274
1.0750231742858887,2,175,931
1.1894570589065552,5,184,1063
1.3463996648788452,8,192,1093
1.8296030759811401,3,160,759
1.4657777547836304,4,108,522
1.3064937591552734,3,170,681
1.4260636568069458,10,347,1630
1.6578034162521362,10,142,649
1.097501277923584,4,127,584
1.521899938583374,7,401,1893
1.3381112813949585,5,158,776
1.1456316709518433,6,205,985
1.1293140649795532,3,253,1212
1.2141212224960327,4,154,828
1.1387556791305542,4,181,1005
1.3109372854232788,4,171,591
1.207865595817566,2,237,1239
1.2704074382781982,11,222,1110
1.1182637214660645,3,121,670
1.126997709274292,3,223,1355
1.2971912622451782,7,296,1506
1.4338961839675903,11,297,1185
1.813801884651184,7,94,550
1.3969734907150269,9,229,1267
1.295785903930664,3,201,1083
1.1303236484527588,6,197,1049
1.3502650260925293,3,72,387
1.330458164215088,4,105,590
1.593584418296814,10,250,995
1.1477727890014648,3,217,1186
1.5607348680496216,3,123,643
1.365493893623352,3,343,1553
1.2220536470413208,5,225,1159
1.6693267822265625,7,140,805
1.7183560132980347,6,248,1213
1.755666732788086,8,222,1121
1.36395263671875,5,270,1449
1.133070945739746,7,373,1744
1.4728442430496216,10,372,1850
1.2273048162460327,2,101,585
1.5439311265945435,7,156,568
1.0676465034484863,2,247,1463
1.4591494798660278,5,132,739
1.2129113674163818,3,192,923
1.0358176231384277,2,189,1038
1.4210458993911743,9,230,996
1.2426224946975708,6,195,1058
1.7686923742294312,4,127,456
1.172576665878296,3,123,662
1.3052242994308472,7,223,1166
1.0374903678894043,1,204,1156
1.2433860301971436,5,308,1681
1.1350749731063843,4,198,1131
1.1320688724517822,2,202,1062
1.387625813484192,3,93,336
1.9916081428527832,5,89,413
1.4658631086349487,6,199,906
1.3095688819885254,7,209,1037
1.3133431673049927,8,228,1139
1.0416350364685059,2,335,1705
1.517126441001892,7,254,1044
1.3746716976165771,4,153,614
1.218322515487671,11,351,1053
1.6476885080337524,10,177,902
1.6828869581222534,8,149,731
1.3491441011428833,3,95,547
1.1289409399032593,4,48,234
1.2170019149780273,7,187,947
1.18501615524292,5,255,1416
1.1663395166397095,4,275,1341
1.4662717580795288,3,223,1213
1.2383791208267212,5,316,1510
1.428004264831543,6,331,1567
1.6826063394546509,6,265,771
1.2918206453323364,5,137,751
1.4500840902328491,7,270,1344
1.172084093093872,3,176,1018
1.536074161529541,8,166,889
1.7081489562988281,8,156,686
1.5939301252365112,8,115,709
1.608972191810608,6,116,701
1.231575846672058,3,135,814
1.6249914169311523,11,171,864
1.7089298963546753,13,203,973
1.5085607767105103,12,194,1028
1.1374459266662598,5,208,991
1.1329673528671265,4,113,668
1.1676665544509888,6,213,1236
1.0904104709625244,2,184,839
1.2966573238372803,8,123,534
1.0839991569519043,3,329,1516
1.7328275442123413,14,175,901
1.3399540185928345,8,252,1336
1.4409887790679932,8,295,1691
1.4190617799758911,8,152,662
1.6474769115447998,2,88,396
1.2254129648208618,4,146,781
1.5275341272354126,9,175,735
1.493377447128296,5,177,983
1.3718785047531128,6,126,637
1.1011741161346436,3,235,1266
1.247780203819275,4,256,1272
1.2511249780654907,5,99,563
1.8120708465576172,5,91,398
1.6721876859664917,8,195,889
1.5207442045211792,8,326,1590
1.5403562784194946,5,112,638
1.8047481775283813,6,105,598
1.0836151838302612,4,171,747
1.2413930892944336,6,156,859
1.4838145971298218,6,233,974
1.4225845336914062,5,230,1006
1.1164382696151733,2,185,1010
1.197435736656189,1,118,633
1.0002418756484985,2,62,333
1.2168338298797607,3,233,1377
1.4106955528259277,7,217,1268
1.7519854307174683,7,112,491
1.0658522844314575,2,95,477
1.2029707431793213,4,271,1633
1.1839102506637573,4,200,1016
1.4476791620254517,8,393,1919
1.56806218624115,12,191,1044
1.0948731899261475,2,101,511
1.1605480909347534,3,196,1096
1.5765472650527954,8,166,644
1.7663841247558594,8,130,608
1.1601471900939941,5,119,642
1.4066195487976074,11,247,1366
1.44480562210083,3,139,644
1.4152625799179077,4,118,612
1.1118272542953491,3,163,835
1.6812565326690674,9,261,1073
1.3619873523712158,4,103,483
1.8345389366149902,10,140,823
1.2916101217269897,6,179,908
1.9103662967681885,8,258,1266
1.27910315990448,11,260,1546
1.5979294776916504,6,203,1101
1.73002290725708,12,237,1321
1.4908710718154907,7,135,722
1.1296913623809814,1,83,411
1.9324874877929688,12,182,832
1.5590671300888062,7,231,976
1.1998579502105713,5,222,1191
1.246142864227295,2,153,723
1.1441298723220825,2,302,1437
2.1066219806671143,15,167,726
1.4121286869049072,3,169,941
1.139241337776184,5,158,912
1.3716228008270264,11,321,1662
1.6782158613204956,9,237,1314
1.7563488483428955,10,199,1099
1.5826832056045532,6,135,663
1.141654133796692,3,224,1187
1.2939382791519165,2,233,1283
1.6302897930145264,6,139,576
1.2673547267913818,5,134,800
1.7476153373718262,6,133,665
1.6798850297927856,4,118,427
1.4019849300384521,7,135,744
1.0527464151382446,3,258,1476
1.41730535030365,3,361,1883
1.4000474214553833,9,163,782
1.5637178421020508,6,199,1051
1.5066864490509033,11,166,834
1.0002094507217407,2,232,1284
1.0957111120224,5,234,1301
1.2835841178894043,7,162,754
1.3900306224822998,16,341,1640
1.7416375875473022,25,415,2004
1.837227463722229,6,171,742
1.169664978981018,4,161,921
1.0961012840270996,6,209,1188
1.9772217273712158,9,113,560
1.1852830648422241,3,159,819
1.4065558910369873,3,97,494
1.4392166137695312,4,107,561
1.0941842794418335,1,136,704
1.9301520586013794,10,112,555
1.4182398319244385,10,197,1000
1.0499247312545776,2,130,746
1.4905869960784912,7,139,753
1.131798267364502,4,307,1717
1.1912198066711426,5,304,1710
1.4473249912261963,8,265,1372
1.70974862575531,4,187,966
1.7948567867279053,6,257,1219
1.779146671295166,9,238,1253
1.3195304870605469,9,316,1598
1.8395344018936157,7,98,314
1.429063081741333,5,91,371
1.1630643606185913,5,230,937
1.1707262992858887,7,153,832
1.1452696323394775,4,124,689
1.193994402885437,5,156,827
1.2065069675445557,5,139,755
1.5767881870269775,6,217,1242
1.1226915121078491,3,166,824
1.3225404024124146,12,360,1944
1.4449610710144043,9,167,848
1.102476716041565,4,200,1167
1.0682129859924316,2,228,1318
1.1857821941375732,5,226,1313
1.778560757637024,6,124,541
1.338777780532837,5,190,991
1.0972164869308472,2,178,980
2.270561695098877,11,137,808
1.581412434577942,7,141,656
2.174593925476074,19,236,1338
1.5066428184509277,10,163,930
1.3344495296478271,12,243,442
1.0477975606918335,2,325,1617
1.2748644351959229,4,164,203
1.2114415168762207,4,185,893
1.4025706052780151,5,81,399
1.7441097497940063,7,58,283
1.1987043619155884,4,196,1064
1.4736459255218506,6,74,335
2.3025782108306885,8,114,478
1.161312460899353,3,168,1031
1.398692011833191,5,117,611
1.4780986309051514,7,166,850
1.3418692350387573,4,104,424
1.8320852518081665,6,184,425
1.435567855834961,9,205,871
1.1101950407028198,2,209,1038
1.2104530334472656,5,246,1413
1.1848711967468262,4,292,1245
1.1018637418746948,4,206,1082
1.6755108833312988,10,188,973
1.7777653932571411,4,51,259
1.6039445400238037,9,170,902
1.6471174955368042,14,342,1453
1.6968975067138672,11,228,1245
1.7364206314086914,20,327,1612
1.1997756958007812,4,207,1097
1.2861652374267578,4,213,1108
1.75970458984375,3,110,629
1.6067745685577393,6,97,512
1.3467494249343872,6,382,1838
1.2079447507858276,4,265,1425
1.4207369089126587,11,151,534
1.6770459413528442,9,164,813
1.2275617122650146,3,187,1030
1.3081384897232056,3,250,982
1.2555025815963745,1,75,337
1.5018330812454224,4,86,453
1.838834285736084,11,280,1274
1.5319490432739258,5,118,650
1.1988933086395264,4,222,1073
1.4781287908554077,7,165,643
1.4484891891479492,9,181,1055
1.0002191066741943,1,170,987
1.3868889808654785,7,168,905
1.7297115325927734,5,108,544
1.1997183561325073,10,391,1892
1.260123372077942,11,399,1812
1.4743608236312866,6,172,666
1.67197847366333,7,153,880
1.0002292394638062,2,109,604
1.0744448900222778,5,292,1492
1.0912238359451294,2,191,858
1.1975632905960083,6,231,1290
1.4043101072311401,6,162,915
1.1055799722671509,2,163,931
1.0881798267364502,6,249,1294
1.6529407501220703,7,138,853
1.3143271207809448,4,144,719
1.564315915107727,13,315,1587
1.0488442182540894,2,278,1393
1.1231083869934082,2,157,948
1.6609591245651245,1,102,460
1.3928285837173462,3,91,449
1.4491052627563477,6,291,1442
1.1573861837387085,3,168,934
1.0002341270446777,1,86,484
1.3871759176254272,8,147,800
1.3644483089447021,7,132,704
1.6602370738983154,5,133,699
1.1379389762878418,2,149,698
1.5457332134246826,7,180,937
1.5709631443023682,10,152,793
1.1584876775741577,3,188,1002
1.0672659873962402,2,178,1007
1.2400869131088257,6,271,1549
1.0658743381500244,4,315,1808
1.1474441289901733,7,350,1822
1.74773108959198,6,109,574
1.9486523866653442,10,118,706
1.1157350540161133,4,267,1515
1.3630973100662231,9,373,1601
1.9033185243606567,8,134,642
1.8709653615951538,18,325,1615
1.0906238555908203,1,132,730
1.098677635192871,7,308,1661
1.3632493019104004,12,299,989
1.1174083948135376,5,275,1340
1.4471449851989746,4,295,1184
2.1925315856933594,10,189,944
1.1096842288970947,2,57,320
1.6685134172439575,9,222,1079
1.3743722438812256,7,214,1206
1.5817471742630005,6,168,852
1.0973385572433472,3,323,1701
1.0700865983963013,4,308,1690
1.1200343370437622,5,389,1654
1.1126312017440796,1,114,629
1.46793532371521,10,123,531
1.2073452472686768,4,160,968
1.2874470949172974,4,160,968
1.1244785785675049,3,151,865
1.7415803670883179,12,248,1207
1.3501625061035156,9,230,1129
1.8557072877883911,8,259,1115
1.393742561340332,8,158,766
1.1071429252624512,10,177,837
1.1270856857299805,7,278,1104
1.049142837524414,2,279,1457
1.3286336660385132,11,279,1581
1.3496026992797852,4,194,984
1.4291558265686035,9,283,1296
1.134011149406433,4,162,931
1.2385488748550415,6,246,1169
1.290936827659607,10,266,1483
1.0002089738845825,2,235,1277
1.291396975517273,11,293,1342
1.0349974632263184,1,194,1036
1.0335124731063843,1,278,1529
1.262710690498352,9,282,1539
1.0433146953582764,1,196,1157
1.2282837629318237,4,286,940
1.3789875507354736,3,34,173
1.7303991317749023,3,42,172
1.905701994895935,2,32,138
1.3248156309127808,4,218,956
1.2408660650253296,5,186,909
1.8211452960968018,11,217,1104
1.2269254922866821,6,190,888
1.4769482612609863,6,128,645
1.4511393308639526,7,159,806
1.563629150390625,11,247,1243
1.300417184829712,13,252,1145
1.14463472366333,8,367,1732
1.1834964752197266,5,265,1280
1.4191184043884277,12,239,1440
1.6264833211898804,7,161,703
1.6250711679458618,4,98,507
1.2424538135528564,3,206,960
1.4821172952651978,4,151,804
1.1102131605148315,4,258,1429
1.9295945167541504,15,314,1507
1.4638487100601196,10,143,813
1.3193881511688232,5,163,926
1.5266636610031128,11,165,958
1.2069171667099,3,116,704
